Id,SalePrice
2658,135587.64500408957
2718,175774.7892427974
2414,197754.81745743516
1989,111304.5215241581
625,172782.18452253356
333,80316.7320879502
1327,104539.79882923746
858,170486.08383107407
95,188973.58109882704
1568,171823.448491884
2482,139419.02485137808
1364,127685.5663509613
2584,154416.1836032875
818,292060.41428839497
2673,155867.3351048118
2089,123683.30455433129
1297,130848.30970735513
790,119722.84093636539
2616,205393.94165669096
720,172597.77730663738
222,154047.79819275113
557,128653.38636975514
1148,176456.2005614878
2766,179778.3585944099
534,184990.41116979934
1452,110367.00049444151
630,128880.07692099741
2648,151539.03257246554
125,152508.4594231357
1904,52096.4144499417
1670,101051.44591781957
756,98099.82791446455
717,236141.77378849802
1032,159770.48371089477
852,211810.15556977288
1731,183486.73014377037
2639,95303.38843485486
2071,95040.753048098
1267,107818.2625784908
1851,214941.8502378662
567,162057.75646320957
2439,199007.01699024526
1898,150940.13785106572
647,139584.1789878902
2256,191503.67587996085
979,93614.5739927421
1444,212876.50344087696
2485,122831.97018509684
157,129177.48826879932
88,136640.2739753282
2003,102033.16527486918
186,182779.55641514558
1425,247226.81319375616
2695,136350.60129007147
738,99316.43096389814
395,159357.7771295554
1353,163820.3417628489
1878,150608.60838460375
390,164202.29565868445
1456,231249.0013068395
1103,312643.1317196677
1387,125742.40854885851
2070,146607.75471308565
1199,162697.73726215446
2479,170428.708826655
501,319901.1394685351
2362,96029.8799339211
1718,201669.4339328078
2188,82762.83330876425
1483,125849.8724461661
2557,78389.17081977216
437,390661.36856563226
2224,242178.91805543593
1628,164283.3080175047
397,125167.6659206624
587,206348.56163832618
971,139006.6746946451
2611,136932.58098569285
1887,95638.34407251753
2399,369464.4743260731
2148,203516.71285219598
304,130661.54941276378
1997,126238.00384860711
2817,123177.6930135575
1431,240149.53784321967
427,371357.3128446414
263,121839.40915329318
598,186440.32634439776
2895,263392.90260016493
687,154457.75753519835
1822,136989.58406153007
2191,112383.23298740297
179,112900.92505265967
1009,237868.93737772922
2010,132520.04737250827
1991,136541.70221814213
1411,178306.45141600052
1721,232206.9038316235
