Id,SalePrice
2658,134727.87886407087
2718,173311.08456873544
2414,197783.1917568095
1989,111566.72907072319
625,176752.00445716706
333,79243.72044992872
1327,104668.86570141319
858,162311.00994479682
95,187043.23466066853
1568,171038.13484762277
2482,137912.13749532885
1364,127130.71780839284
2584,152952.65247584844
818,298309.48327334353
2673,159629.77753108938
2089,130628.92537522502
1297,130331.96856194179
790,118795.74683844033
2616,210062.0612871528
720,171141.49118820298
222,151136.247610558
557,125995.44365866769
1148,174709.32041054382
2766,182231.19848125454
534,183009.89363570153
1452,108085.93508893411
630,128365.34760501367
2648,153156.01260431338
125,153946.74805252906
1904,53622.22516443774
1670,100030.16943389425
756,97659.18506289052
717,235164.90135822888
1032,156498.7361000171
852,216323.67038969137
1731,180668.49503050174
2639,95924.99290685808
2071,93286.45663431185
1267,106408.96856303266
1851,214550.68177633622
567,157187.7257388287
2439,198510.87903717114
1898,149756.42823753352
647,161152.4964436969
2256,197149.66731125247
979,93752.87486376766
1444,216743.52868809184
2485,119020.37506851176
157,127409.97707738954
88,133291.18123586517
2003,103259.4570020926
186,181356.3024733768
1425,242638.63834999583
2695,136615.26033572742
738,102723.21143140538
395,158070.35138864577
1353,164188.63442862465
1878,148984.60059292178
390,160134.4636138313
1456,229625.81535795663
1103,312755.9152709656
1387,122173.065671547
2070,148116.00654678867
1199,158796.8394910955
2479,167330.75740644144
501,317838.57240645215
2362,95744.50349653244
1718,197838.6181927208
2188,81255.54320070757
1483,131298.01669771777
2557,85379.16201468851
437,391245.9046548146
2224,250048.6147571379
1628,170105.79007009807
397,130185.23428069253
587,205692.14629016857
971,147150.9066317766
2611,157488.95943802205
1887,95143.42188314981
2399,373916.5240571976
2148,208817.81950854033
304,114295.16575651203
1997,125366.95007480912
2817,126746.86236698901
1431,217421.70167822356
427,380778.3434696224
263,119680.41893513058
598,182472.91290125938
2895,265146.2619278999
687,154286.7134120468
1822,134162.2432399771
2191,112765.53774588356
179,112193.03124779309
1009,226569.5878328515
2010,133602.35104322468
1991,135594.76699917438
1411,176575.78284267744
1721,229057.37428395526
1144,184514.7294442386
593,202094.61198516266
575,318825.4965023802
1249,176100.89627177722
1604,135319.00310631446
1064,445195.3271697723
1923,146253.71058253478
1988,105356.55670765185
2325,174886.15081178016
