Id,SalePrice
2658,138551.48878558146
2718,175576.81838509778
2414,205467.1725458192
1989,127455.41625153263
625,178363.90965648944
333,77066.89358017773
1327,106857.90485825654
858,153232.64988244494
95,190595.88907059323
1568,173450.1117438969
2482,163442.66674690024
1364,129785.8170743133
2584,155989.77403402
818,304205.34522020136
2673,156825.55296976693
2089,126947.32359783712
1297,135992.4089698673
790,119958.09124310763
2616,209550.99621484062
720,193802.3516563496
222,145489.88423959276
557,122332.62919080313
1148,201933.40027026192
2766,161324.65193712764
534,195599.3508168728
1452,103519.21209943053
630,130727.10350117856
2648,153188.87284817133
125,151489.0762961215
1904,48338.331470777186
1670,96546.59304548189
756,100745.88035545632
717,261332.1988129425
1032,160440.31444152177
852,223159.12363018008
1731,183099.36844494793
2639,111449.30642321461
2071,78052.04230986729
1267,107793.36876361718
1851,208333.56728939424
567,156752.15895344425
2439,208876.4430997824
1898,146964.3694787225
647,165203.94945572983
2256,209854.29277699132
979,87571.72098178134
1444,223367.9014945451
2485,120967.70834436725
157,121971.73625308432
88,129941.79367111239
2003,107496.75244427781
186,204095.07690045057
1425,250459.9886950247
2695,137238.88413425576
738,96121.13835491118
395,153849.1565938856
1353,168989.01351370907
1878,146746.91270896053
390,168201.84698104236
1456,235687.28495413624
1103,296806.9413174214
1387,120033.45538534108
2070,147012.91263657197
1199,170964.76383309852
2479,179524.1056709502
501,295456.2330139176
2362,89073.56818857581
1718,187660.52407402446
2188,70492.28508664962
1483,145911.6689799556
2557,73942.97792391689
437,363557.66548910545
2224,222257.09548110294
1628,180869.27713433042
397,128799.46704964427
587,210138.95203988545
971,151221.0079650187
2611,155964.8696045983
1887,89946.38504197201
2399,384934.7461628756
2148,214878.92920421308
304,116844.44852999682
1997,127746.61252231142
2817,126460.64046517367
1431,202634.2356098313
427,391223.77620277065
263,114253.00024635223
598,191692.08516487415
2895,268980.0693528382
687,153704.6014961884
1822,129352.39935524139
2191,108815.12706780076
179,132251.10817508938
1009,193817.27085843217
2010,123184.52630107186
1991,143486.34131066513
1411,177818.77970974194
1721,223092.7727832223
1144,196236.8972432125
593,216962.63750396483
575,341726.66144173034
1249,181061.60274192772
1604,128056.98747541459
1064,459479.7795255553
1923,147690.0812845577
1988,102222.41754791426
2325,174905.7066259968
114,210451.0155047605
2700,185856.937787642
217,145416.0393423059
343,188289.5047474997
386,228623.7313684731
2005,119050.67609398041
2908,147084.09125867987
1814,234882.6732169601
2446,469969.4064129992
208,125605.21578799572
1679,114360.76897524873
822,370700.5591832529
6,193386.96527122642
1781,416033.1092346552
2397,298183.7568410675
2340,280383.0607904121
1618,172089.19016267842
2843,160849.42930676098
1061,361720.1010238381
2786,106703.36219466108
1935,126252.32221437548
1341,109182.4922417127
521,264696.1204142321
2136,131746.05097329602
